	#node1	node2
424	CUL2	CUL3
425	CUL5	CUL3
426	RBX1	KEAP1
427	UBC	KEAP1
428	NFE2L2	KEAP1
429	BTRC	KEAP1
430	KLHL2	KEAP1
431	BTRC	RBX1
432	FBXW11	RBX1
433	CUL5	KEAP1
434	KLHL2	CUL1
435	CUL1	KEAP1
436	KLHL2	CUL5
437	CUL2	KLHL2
438	FBXW11	KEAP1
439	CUL2	FBXW11
440	CUL5	BTRC
441	BTRC	CUL3
442	CUL5	FBXW11
443	CUL2	BTRC
444	FBXW11	CUL3
445	UBC	RBX1
446	CUL2	CUL1
447	CUL2	CUL5
448	KLHL2	BTRC
449	KLHL2	UBC
450	CUL5	CUL1
451	KLHL2	RBX1
452	KLHL2	FBXW11
453	RELA	NFKBIA
454	NFKB1	NFKBIA
455	IKBKB	NFKB1
456	RELA	NFKB1
457	NFKB1	BCL3
458	CHUK	NFKBIA
459	REL	NFKBIA
460	IKBKB	NFKBIA
461	CHUK	NFKB1
462	REL	NFKB1
463	RELA	NFKBIB
464	NFKB1	RELB
465	NFKBIB	REL
466	RELA	REL
467	NFKBIB	NFKB1
468	IKBKB	RELA
469	RELA	CHUK
470	NFKBIB	NFKBIA
471	HDAC2	NFKB1
472	HDAC2	RELA
473	IKBKB	BIRC3
474	BIRC3	NFKB1
475	IKBKB	CHUK
476	RELA	RELB
477	RELA	BCL3
478	CHUK	NFKBIB
479	IKBKB	NFKBIB
480	RELA	BIRC3
481	BIRC3	NFKBIA
482	CHUK	BIRC3
483	CHUK	RELB
484	IKBKB	REL
485	RELB	NFKBIA
486	CHUK	REL
487	REL	RELB
488	IKBKB	BCL3
489	CHUK	BCL3
490	RELB	BCL3
491	NFKBIA	BCL3
492	REL	BCL3
493	HDAC2	BCL3
494	HDAC2	NFKBIA
495	CXorf57	NXPE1
496	NXPE4	NXPE1
497	CXorf57	MLH1
498	NXPE1	MLH1
499	GNB1	GNGT1
500	GNB1	ADRBK1
501	GNG7	GNB1
502	PRKACB	PRKACA
503	ADRBK2	ADRBK1
504	GNB1	GNAL
505	GNG7	ADRBK1
506	ADRBK1	GNGT1
507	ARRB1	GNB1
508	GNAL	GNGT1
509	GNB1	PRKACB
510	GNB1	PRKACG
511	PRKACG	PRKACA
512	ARRB1	GNGT1
513	PRKACG	PRKACB
514	OR5B21	GNAL
515	OR5B21	GNGT1
516	PRKACB	GNGT1
517	GNG7	GNGT1
518	GNB1	OR5B21
519	PRKACG	GNGT1
520	ARRB1	ADRBK1
521	GNG7	GNAL
522	GNG7	PRKACB
523	GNG7	PRKACA
524	ARRB1	ADRBK2
525	ARRB1	OR5B21
526	PRKACB	OR5B21
527	OR5B21	ADRBK2
528	OR5B21	PRKACA
529	OR5B21	ADRBK1
530	PRKACA	GNGT1
531	GNG7	PRKACG
532	GNG7	OR5B21
533	PRKACG	OR5B21
534	GNB1	ADRBK2
535	IL6ST	IL6
536	IL6ST	OSM
537	OSMR	OSM
538	JAK1	IL6ST
539	IL6ST	OSMR
540	JAK3	JAK1
541	JAK1	TYK2
542	JAK2	OSMR
543	JAK1	OSMR
544	JAK3	JAK2
545	JAK2	IL6ST
546	JAK3	TYK2
547	IL6ST	TYK2
548	JAK2	JAK1
549	JAK2	IL6
550	JAK3	IL6
551	TYK2	IL6
552	JAK1	IL6
553	JAK1	OSM
554	IL31RA	IL31
555	IL31RA	OSMR
556	TYK2	OSM
557	IL31	OSMR
558	JAK2	TYK2
559	OSMR	TYK2
560	JAK2	OSM
561	JAK3	IL6ST
562	JAK3	OSMR
563	OSMR	IL6
564	JAK3	OSM
565	IFNE	IL6ST
566	IFNE	OSMR
567	JAK1	STAT5B
568	JAK3	STAT5B
569	JAK2	STAT5B
570	JAK1	STAT6
571	JAK3	STAT5A
572	STAT5A	STAT3
573	JAK3	STAT6
574	JAK2	STAT5A
575	JAK1	STAT5A
576	STAT1	STAT3
577	STAT1	STAT5A
578	JAK1	STAT3
579	JAK2	STAT1
580	JAK2	STAT3
581	STAT6	TYK2
582	JAK2	STAT6
583	JAK3	STAT3
584	STAT5A	TYK2
585	STAT5B	TYK2
586	STAT5B	STAT3
587	STAT4	STAT3
588	STAT5A	STAT5B
589	STAT1	TYK2
590	STAT1	JAK1
591	JAK3	JAK1
592	JAK1	TYK2
593	JAK3	JAK2
594	JAK3	TYK2
595	STAT1	STAT5B
596	JAK1	PTPN2
597	JAK2	STAT4
598	JAK3	PTPN2
599	STAT4	TYK2
600	TYK2	STAT3
601	JAK3	STAT1
602	JAK2	JAK1
603	JAK2	TYK2
604	PTPN2	STAT3
605	PTPN2	STAT5B
606	STAT1	PTPN2
607	PTPN2	STAT6
608	STAT5A	PTPN2
609	JAK2	PTPN2
610	PTPN2	TYK2
611	STAT4	PTPN2
612	STAT4	JAK1
613	STAT6	STAT5B
614	STAT1	STAT4
615	STAT5A	STAT6
616	STAT6	STAT3
617	JAK3	STAT4
618	STAT4	STAT5B
619	STAT1	STAT6
620	STAT4	STAT6
621	STAT4	STAT5A
622	GART	PFAS
623	CNOT7	CNOT1
624	PFAS	EIF4H
625	RAVER1	EIF4H
626	CNOT7	RAVER1
627	GART	RAVER1
628	RAVER1	DDX1
629	PFAS	RAVER1
630	SF3B1	RAVER1
631	CNOT1	RAVER1
632	SF3B1	EIF4H
633	DYNLT1	RAVER1
634	ABCC1	RAVER1
635	AK2	RAVER1
636	GART	EIF4H
637	MTOR	RPTOR
638	PDPK1	AKT1
639	MTOR	AKT1
640	MTOR	RPS6KB1
641	PDPK1	RPS6KB1
642	HSP90AA1	AKT1
643	HSP90AA1	MAPK1
644	RPS6	RPS6KB1
645	AKT1	RPS6KB1
646	HSP90AA1	RPS6KB1
647	RPTOR	RPS6KB1
648	RPTOR	AKT1
649	AKT1	PIK3CA
650	PIK3CA	RPS6KB1
651	RPS6KB1	MAPK1
652	PPP2CA	RPS6KB1
653	RAC1	AKT1
654	RAC1	RPS6KB1
655	PPP2CA	AKT1
656	PPP2CA	MAPK1
657	RAC1	PIK3CA
658	PDPK1	PIK3CA
659	PDPK1	HSP90AA1
660	MTOR	PIK3CA
661	RAC1	MAPK1
662	PPP2CA	MTOR
663	PPP2CA	PDPK1
664	RAC1	HSP90AA1
665	HSP90AA1	PIK3CA
666	RAC1	PDPK1
667	PPP2CA	RPS6
668	MTOR	HSP90AA1
669	RPTOR	PIK3CA
670	RPS6	AKT1
671	MTOR	PDPK1
672	PPP2CA	RAC1
673	RPS6	HSP90AA1
674	KIT	KITLG
675	EPO	EPOR
676	JAK2	SOCS3
677	JAK2	GRB2
678	GRB2	KIT
679	JAK2	SH2B1
680	JAK2	EPOR
681	JAK2	KIT
682	GRB2	EPOR
683	SOCS3	EPOR
684	KIT	EPOR
685	NTRK1	GRB2
686	SH2B3	KIT
687	KITLG	EPOR
688	JAK2	KITLG
689	KIT	EPO
690	SH2B3	SOCS3
691	JAK2	EPO
692	EPO	KITLG
693	SOCS3	EPO
694	SH2B3	EPOR
695	SH2B3	EPO
696	JAK2	SH2B3
697	SH2B3	KITLG
698	GRB2	EPO
699	GRB2	KITLG
700	GRB2	SH2B1
701	SH2B3	GRB2
702	NTRK1	SH2B1
703	NTRK3	GRB2
704	NTRK3	SH2B3
705	NTRK1	SH2B3
706	NTRK3	SH2B1
707	SH2B3	SH2B1
708	TNFSF15	TNFRSF6B
709	TNFSF14	TNFRSF6B
710	TNFRSF6B	FASLG
711	IFNAR1	TYK2
712	STAT1	STAT2
713	STAT1	STAT5A
714	PTPN1	TYK2
715	PIK3R1	TYK2
716	PTPN6	TYK2
717	PTPN1	STAT5B
718	PTPN1	STAT5A
719	SOCS1	TYK2
720	STAT6	TYK2
721	STAT5B	TYK2
722	STAT5A	TYK2
723	STAT2	TYK2
724	STAT2	IFNAR1
725	STAT1	TYK2
726	STAT5A	STAT5B
727	STAT1	IFNAR1
728	PTPN6	PIK3R1
729	SOCS1	IFNAR1
730	PTPN6	IFNAR1
731	STAT1	STAT5B
732	PTPN1	STAT2
733	STAT1	SOCS1
734	SOCS1	STAT2
735	SOCS1	STAT6
736	SOCS1	STAT5B
737	STAT5A	SOCS1
738	PTPN6	STAT2
739	PTPN1	PIK3R1
740	PTPN1	IFNAR1
741	STAT2	STAT6
742	STAT6	STAT5B
743	STAT5A	STAT6
744	STAT2	STAT5B
745	STAT5A	STAT2
746	STAT1	STAT6
747	SOCS1	PIK3R1
748	IL8	CXCR1
749	CXCL2	CXCL1
750	CXCL1	IL8
751	CXCL2	IL8
752	CXCR2	CXCR1
753	FPR2	FPR1
754	CXCR2	FPR1
755	CXCR2	PPBP
756	CXCR2	IL8
757	CXCL1	CXCR2
758	CXCL1	CXCR1
759	CXCL2	CXCR2
760	CXCL2	CXCR1
761	ARRB1	CXCR2
762	PPBP	CXCR1
763	GNA14	CXCR2
764	FPR2	CXCR2
765	PPP2CA	CXCR2
766	GNA14	CXCR1
767	FPR1	CXCR1
768	FPR2	CXCR1
769	PPP2CA	ARRB1
770	FPR1	PPBP
771	FPR2	PPBP
772	CXCL2	FPR2
773	CXCL1	FPR2
774	CXCL1	FPR1
775	CXCL2	FPR1
776	IL8	PPBP
777	ARRB1	CXCR1
778	GNA14	FPR2
779	CXCL1	PPBP
780	ARRB1	FPR1
781	ARRB1	IL8
782	CXCL2	PPBP
783	PPP2CA	IL8
784	IL8	FPR1
785	FPR2	IL8
786	GNA14	IL8
787	HDAC2	RBBP7
788	HDAC1	RBBP4
789	HDAC2	RBBP4
790	RBBP7	HDAC1
791	HDAC2	SMARCA5
792	RBBP4	SMARCA5
793	HDAC2	EZH2
794	HDAC1	EZH2
795	HDAC1	SMARCA5
796	RBBP7	EZH2
797	RBBP7	RBBP4
798	HDAC2	HDAC1
799	HDAC1	DNMT1
800	RBBP7	SMARCA5
801	HDAC2	DNMT1
802	H2AFX	DNMT3B
803	H2AFX	DNMT3A
804	DNMT1	EZH2
805	DNMT3B	EZH2
806	RBBP4	DNMT3B
807	RBBP7	DNMT3B
808	RBBP4	EZH2
809	HDAC2	DNMT3B
810	HDAC1	DNMT3B
811	DNMT3B	DNMT3L
812	DNMT3L	DNMT3A
813	DNMT3B	DNMT3A
814	DNMT1	SMARCA5
815	H2AFX	DNMT1
816	DNMT1	DNMT3B
817	EZH2	DNMT3A
818	DNMT1	DNMT3A
819	DNMT3B	SMARCA5
820	H2AFX	SMARCA5
821	H2AFX	EZH2
822	RBBP4	DNMT1
823	H2AFX	HDAC1
824	HDAC2	H2AFX
825	RBBP7	DNMT3A
826	RBBP4	DNMT3A
827	RBBP7	H2AFX
828	H2AFX	RBBP4
829	RBBP7	DNMT1
830	H2AFX	DNMT3L
831	COL1A2	COL1A1
832	COL3A1	COL1A2
833	COL3A1	COL1A1
834	COL1A2	LUM
835	COL5A2	COL3A1
836	COL5A2	COL1A2
837	COL5A2	COL1A1
838	COL3A1	LUM
839	LUM	COL1A1
840	COL5A2	LUM
841	POSTN	COL3A1
842	COL3A1	CDH11
843	POSTN	COL5A2
844	POSTN	COL1A2
845	COL1A2	CDH11
846	COL1A2	FAP
847	COL5A2	FAP
848	COL5A2	CDH11
849	POSTN	CDH11
850	HUWE1	FAP
851	SH3KBP1	FAP
852	POSTN	COL1A1
853	COL1A1	FAP
854	POSTN	FAP
855	POSTN	LUM
856	CORO1C	FAP
857	LUM	FAP
858	COL3A1	FAP
859	CDH11	FAP
860	CDH11	COL1A1
861	SH3KBP1	HUWE1
862	JUN	FOS
863	FOS	JUNB
864	FOS	JUND
865	ATF2	JUND
866	JUN	ATF2
867	JUNB	ATF2
868	JUND	FOSB
869	JUNB	FOSB
870	JUN	FOSB
871	FOS	ATF2
872	FOS	FOSB
873	MAPK9	JUN
874	MAPK9	JUND
875	CEBPA	FOS
876	ATF2	MAPK1
877	FOS	MAPK1
878	MAPK9	ATF2
879	JUN	JUNB
880	JUN	ESR1
881	JUN	MAPK1
882	FOS	CREM
883	MAPK1	ESR1
884	FOS	ESR1
885	MAPK9	FOS
886	CEBPA	JUN
887	JUN	JUND
888	JUNB	JUND
889	JUN	CREM
890	ATF2	ESR1
891	CREM	ATF2
892	MAPK9	JUNB
893	JUND	MAPK1
894	B3GNT3	FUT3
895	FUT2	FUT3
896	FUT2	B3GNT3
897	FUT2	FUT5
898	B3GNT3	FUT5
899	FUT2	FUT6
900	FUT2	GBGT1
901	FUT2	B4GALT3
902	B4GALT1	FUT6
903	B4GALT3	FUT3
904	FUT2	B4GALT4
905	FUT4	B4GALT3
906	FUT4	B4GALT2
907	FUT2	FUT4
908	B4GALT2	FUT3
909	FUT2	B4GALT2
910	FUT4	B3GNT3
911	FUT2	B4GALT1
912	B4GALT1	FUT3
913	B3GNT3	FUT6
914	B4GALT1	FUT4
915	B4GALT1	FUT5
916	B4GALT3	FUT6
917	B4GALT2	FUT5
918	B4GALT3	FUT5
919	B4GALT2	FUT6
920	B4GALT4	B3GNT3
921	GBGT1	FUT4
922	FUT4	FUT6
923	B3GNT3	B4GALT2
924	GBGT1	FUT6
925	B4GALT4	FUT3
926	B4GALT4	FUT6
927	FUT4	FUT3
928	GBGT1	FUT5
929	B3GNT3	B4GALT3
930	FUT4	FUT5
931	GBGT1	FUT3
932	B4GALT1	B3GNT3
933	B4GALT4	FUT5
934	B4GALT4	FUT4
935	FUT3	FUT5
936	FUT3	FUT6
937	FUT6	FUT5
938	B4GALT1	B4GALT2
939	B4GALT4	B4GALT3
940	B4GALT3	B4GALT2
941	B4GALT1	B4GALT3
942	B4GALT1	B4GALT4
943	GPR35	KTI12
944	ATG12	ATG5
945	MAVS	DDX58
946	DDX58	IFIH1
947	DDX58	IRF7
948	DDX58	UBE2L6
949	IRF7	IFIH1
950	MAVS	IFIH1
951	IKBKE	IFIH1
952	UBE2L6	IFIH1
953	DDX58	IKBKE
954	MAVS	IKBKE
955	DAK	IFIH1
956	DDX58	NLRC5
957	IFIH1	NLRC5
958	MAVS	IRF7
959	IKBKE	IRF7
960	PCBP2	IFIH1
961	ATG12	IFIH1
962	ATG12	DDX58
963	DDX58	ATG5
964	ATG5	IFIH1
965	ATG12	MAVS
966	MAVS	PCBP2
967	MAVS	ATG5
968	DDX58	PCBP2
969	MAVS	NLRC5
970	MAVS	DAK
971	DAK	DDX58
972	IRF7	UBE2L6
973	JAK2	STAT3
974	IL12B	IL23A
975	IL12RB1	IL12B
976	IL23R	IL12B
977	RELA	IL12B
978	IL23R	IL23A
979	IL12RB1	IL23R
980	IL23R	STAT3
981	IL12RB1	IL23A
982	JAK2	IL23R
983	RELA	JAK2
984	IL12RB1	STAT3
985	CXCL9	IL12B
986	IL12RB1	CD3E
987	IL12RB1	JAK2
988	IL24	IL23R
989	JAK2	CD3E
990	JAK2	CXCL9
991	JAK2	IL23A
992	CXCL9	IL23R
993	STAT3	IL12B
994	JAK2	IL12B
995	IL12RB1	RELA
996	CXCL1	IL23A
997	CD3E	IL23R
998	STAT3	IL23A
999	RELA	IL23R
1000	RELA	IL23A
1001	CD3E	IL23A
1002	IL12RB1	CXCL1
1003	CD3E	IL12B
1004	CXCL1	IL23R
1005	IL12RB1	IL24
1006	CXCL9	IL23A
1007	IL12RB1	CXCL9
1008	IL24	IL12B
1009	IL24	IL23A
1010	IL24	JAK2
1011	CXCL1	IL12B
1012	CXCL1	CXCL9
1013	CXCL1	JAK2
1014	RELA	STAT3
1015	STAT1	STAT2
1016	JAK2	STAT5A
1017	JAK1	STAT5A
1018	STAT1	STAT5A
1019	JAK2	STAT2
1020	JAK2	STAT1
1021	JAK1	STAT2
1022	STAT5A	TYK2
1023	STAT2	TYK2
1024	IL27	EBI3
1025	STAT1	JAK1
1026	STAT1	TYK2
1027	JAK1	IL6ST
1028	JAK1	IL27RA
1029	STAT1	IL6ST
1030	STAT1	IL27RA
1031	JAK1	TYK2
1032	IL27	IL27RA
1033	JAK2	IL6ST
1034	IL6ST	TYK2
1035	IL27RA	EBI3
1036	IL27	IL6ST
1037	JAK2	STAT4
1038	STAT4	TYK2
1039	JAK2	JAK1
1040	JAK2	IL27
1041	IL27	STAT2
1042	JAK2	EBI3
1043	JAK2	IL27RA
1044	STAT1	EBI3
1045	TYK2	EBI3
1046	TYK2	IL27RA
1047	STAT4	IL6ST
1048	JAK1	EBI3
1049	IL6ST	STAT2
1050	IL27	STAT5A
1051	STAT4	IL27
1052	STAT5A	IL6ST
1053	IL6ST	EBI3
1054	STAT2	IL27RA
1055	STAT1	IL27
1056	STAT5A	EBI3
1057	IL27	TYK2
1058	STAT4	IL27RA
1059	STAT2	EBI3
1060	STAT4	EBI3
1061	STAT5A	IL27RA
1062	IL6ST	IL27RA
1063	IL27	JAK1
1064	JAK2	TYK2
1065	STAT4	JAK1
1066	STAT1	STAT4
1067	STAT4	STAT2
