	#node1	node2
427	KLHL2	FBXW11
428	RELA	NFKBIA
429	NFKB1	NFKBIA
430	IKBKB	NFKB1
431	RELA	NFKB1
432	NFKB1	BCL3
433	CHUK	NFKBIA
434	REL	NFKBIA
435	IKBKB	NFKBIA
436	CHUK	NFKB1
437	REL	NFKB1
438	RELA	NFKBIB
439	NFKB1	RELB
440	NFKBIB	REL
441	RELA	REL
442	NFKBIB	NFKB1
443	IKBKB	RELA
444	RELA	CHUK
445	NFKBIB	NFKBIA
446	HDAC2	NFKB1
447	HDAC2	RELA
448	IKBKB	BIRC3
449	BIRC3	NFKB1
450	IKBKB	CHUK
451	RELA	RELB
452	RELA	BCL3
453	CHUK	NFKBIB
454	IKBKB	NFKBIB
455	RELA	BIRC3
456	BIRC3	NFKBIA
457	CHUK	BIRC3
458	CHUK	RELB
459	IKBKB	REL
460	RELB	NFKBIA
461	CHUK	REL
462	REL	RELB
463	IKBKB	BCL3
464	CHUK	BCL3
465	RELB	BCL3
466	NFKBIA	BCL3
467	REL	BCL3
468	HDAC2	BCL3
469	HDAC2	NFKBIA
470	CXorf57	NXPE1
471	NXPE4	NXPE1
472	CXorf57	MLH1
473	NXPE1	MLH1
474	GNB1	GNGT1
475	GNB1	ADRBK1
476	GNG7	GNB1
477	PRKACB	PRKACA
478	ADRBK2	ADRBK1
479	GNB1	GNAL
480	GNG7	ADRBK1
481	ADRBK1	GNGT1
482	ARRB1	GNB1
483	GNAL	GNGT1
484	GNB1	PRKACB
485	GNB1	PRKACG
486	PRKACG	PRKACA
487	ARRB1	GNGT1
488	PRKACG	PRKACB
489	OR5B21	GNAL
490	OR5B21	GNGT1
491	PRKACB	GNGT1
492	GNG7	GNGT1
493	GNB1	OR5B21
494	PRKACG	GNGT1
495	ARRB1	ADRBK1
496	GNG7	GNAL
497	GNG7	PRKACB
498	GNG7	PRKACA
499	ARRB1	ADRBK2
500	ARRB1	OR5B21
501	PRKACB	OR5B21
502	OR5B21	ADRBK2
503	OR5B21	PRKACA
504	OR5B21	ADRBK1
505	PRKACA	GNGT1
506	GNG7	PRKACG
507	GNG7	OR5B21
508	PRKACG	OR5B21
509	GNB1	ADRBK2
510	IL6ST	IL6
511	IL6ST	OSM
512	OSMR	OSM
513	JAK1	IL6ST
514	IL6ST	OSMR
515	JAK3	JAK1
516	JAK1	TYK2
517	JAK2	OSMR
518	JAK1	OSMR
519	JAK3	JAK2
520	JAK2	IL6ST
521	JAK3	TYK2
522	IL6ST	TYK2
523	JAK2	JAK1
524	JAK2	IL6
525	JAK3	IL6
526	TYK2	IL6
527	JAK1	IL6
528	JAK1	OSM
529	IL31RA	IL31
530	IL31RA	OSMR
531	TYK2	OSM
532	IL31	OSMR
533	JAK2	TYK2
534	OSMR	TYK2
535	JAK2	OSM
536	JAK3	IL6ST
537	JAK3	OSMR
538	OSMR	IL6
539	JAK3	OSM
540	IFNE	IL6ST
541	IFNE	OSMR
542	JAK1	STAT5B
543	JAK3	STAT5B
544	JAK2	STAT5B
545	JAK1	STAT6
546	JAK3	STAT5A
547	STAT5A	STAT3
548	JAK3	STAT6
549	JAK2	STAT5A
550	JAK1	STAT5A
551	STAT1	STAT3
552	STAT1	STAT5A
553	JAK1	STAT3
554	JAK2	STAT1
555	JAK2	STAT3
556	STAT6	TYK2
557	JAK2	STAT6
558	JAK3	STAT3
559	STAT5A	TYK2
560	STAT5B	TYK2
561	STAT5B	STAT3
562	STAT4	STAT3
563	STAT5A	STAT5B
564	STAT1	TYK2
565	STAT1	JAK1
566	JAK3	JAK1
567	JAK1	TYK2
568	JAK3	JAK2
569	JAK3	TYK2
570	STAT1	STAT5B
571	JAK1	PTPN2
572	JAK2	STAT4
573	JAK3	PTPN2
574	STAT4	TYK2
575	TYK2	STAT3
576	JAK3	STAT1
577	JAK2	JAK1
578	JAK2	TYK2
579	PTPN2	STAT3
580	PTPN2	STAT5B
581	STAT1	PTPN2
582	PTPN2	STAT6
583	STAT5A	PTPN2
584	JAK2	PTPN2
585	PTPN2	TYK2
586	STAT4	PTPN2
587	STAT4	JAK1
588	STAT6	STAT5B
589	STAT1	STAT4
590	STAT5A	STAT6
591	STAT6	STAT3
592	JAK3	STAT4
593	STAT4	STAT5B
594	STAT1	STAT6
595	STAT4	STAT6
596	STAT4	STAT5A
597	GART	PFAS
598	CNOT7	CNOT1
599	PFAS	EIF4H
600	RAVER1	EIF4H
601	CNOT7	RAVER1
602	GART	RAVER1
603	RAVER1	DDX1
604	PFAS	RAVER1
605	SF3B1	RAVER1
606	CNOT1	RAVER1
607	SF3B1	EIF4H
608	DYNLT1	RAVER1
609	ABCC1	RAVER1
610	AK2	RAVER1
611	GART	EIF4H
612	MTOR	RPTOR
613	PDPK1	AKT1
614	MTOR	AKT1
615	MTOR	RPS6KB1
616	PDPK1	RPS6KB1
617	HSP90AA1	AKT1
618	HSP90AA1	MAPK1
619	RPS6	RPS6KB1
620	AKT1	RPS6KB1
621	HSP90AA1	RPS6KB1
622	RPTOR	RPS6KB1
623	RPTOR	AKT1
624	AKT1	PIK3CA
625	PIK3CA	RPS6KB1
626	RPS6KB1	MAPK1
627	PPP2CA	RPS6KB1
628	RAC1	AKT1
629	RAC1	RPS6KB1
630	PPP2CA	AKT1
631	PPP2CA	MAPK1
632	RAC1	PIK3CA
633	PDPK1	PIK3CA
634	PDPK1	HSP90AA1
635	MTOR	PIK3CA
636	RAC1	MAPK1
637	PPP2CA	MTOR
638	PPP2CA	PDPK1
639	RAC1	HSP90AA1
640	HSP90AA1	PIK3CA
641	RAC1	PDPK1
642	PPP2CA	RPS6
643	MTOR	HSP90AA1
644	RPTOR	PIK3CA
645	RPS6	AKT1
646	MTOR	PDPK1
647	PPP2CA	RAC1
648	RPS6	HSP90AA1
649	KIT	KITLG
650	EPO	EPOR
651	JAK2	SOCS3
652	JAK2	GRB2
653	GRB2	KIT
654	JAK2	SH2B1
655	JAK2	EPOR
656	JAK2	KIT
657	GRB2	EPOR
658	SOCS3	EPOR
659	KIT	EPOR
660	NTRK1	GRB2
661	SH2B3	KIT
662	KITLG	EPOR
663	JAK2	KITLG
664	KIT	EPO
665	SH2B3	SOCS3
666	JAK2	EPO
667	EPO	KITLG
668	SOCS3	EPO
669	SH2B3	EPOR
670	SH2B3	EPO
671	JAK2	SH2B3
672	SH2B3	KITLG
673	GRB2	EPO
674	GRB2	KITLG
675	GRB2	SH2B1
676	SH2B3	GRB2
677	NTRK1	SH2B1
678	NTRK3	GRB2
679	NTRK3	SH2B3
680	NTRK1	SH2B3
681	NTRK3	SH2B1
682	SH2B3	SH2B1
683	TNFSF15	TNFRSF6B
684	TNFSF14	TNFRSF6B
685	TNFRSF6B	FASLG
686	IFNAR1	TYK2
687	STAT1	STAT2
688	STAT1	STAT5A
689	PTPN1	TYK2
690	PIK3R1	TYK2
691	PTPN6	TYK2
692	PTPN1	STAT5B
693	PTPN1	STAT5A
694	SOCS1	TYK2
695	STAT6	TYK2
696	STAT5B	TYK2
697	STAT5A	TYK2
698	STAT2	TYK2
699	STAT2	IFNAR1
700	STAT1	TYK2
701	STAT5A	STAT5B
702	STAT1	IFNAR1
703	PTPN6	PIK3R1
704	SOCS1	IFNAR1
705	PTPN6	IFNAR1
706	STAT1	STAT5B
707	PTPN1	STAT2
708	STAT1	SOCS1
709	SOCS1	STAT2
710	SOCS1	STAT6
711	SOCS1	STAT5B
712	STAT5A	SOCS1
713	PTPN6	STAT2
714	PTPN1	PIK3R1
715	PTPN1	IFNAR1
716	STAT2	STAT6
717	STAT6	STAT5B
718	STAT5A	STAT6
719	STAT2	STAT5B
720	STAT5A	STAT2
721	STAT1	STAT6
722	SOCS1	PIK3R1
